antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'gender=Male', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.2644520436411008,0.45378060033653583,0.15893177007002116,0.6009852216748768,1.324396021401466,1.0,0.03892856294633866,1.3689202238479408,0.3330018593994031,0.28416149068322977,0.2694972412716144,0.47561222806231873
"frozenset({'easter_period=False', 'gender=Male', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.2628779243337133,0.45378060033653583,0.15815375707901355,0.6016243375318329,1.3258044462139902,1.0,0.038864854759638676,1.371116388685292,0.33337890654287955,0.28317351302319554,0.2706673129632274,0.4750745292124874
"frozenset({'bus_involvement=False', 'gender=Male', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.26114096509797535,0.45378060033653583,0.15755667734172862,0.6033395690431649,1.3295843158471563,1.0,0.03905597342710701,1.377045344164677,0.3354973272657498,0.2826813828923876,0.2738075007932254,0.4752742502313113
"frozenset({'easter_period=False', 'gender=Male', 'bus_involvement=False', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.25956684579058786,0.45378060033653583,0.15677866435072102,0.6040011152934616,1.3310421706999334,1.0,0.03899226524040704,1.3793458031283323,0.3358966318445381,0.2816878515002763,0.2750186372902159,0.4747477665781502
"frozenset({'gender=Male', 'christmas_period=False', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.2555139409071993,0.45378060033653583,0.15391991894190232,0.6023934286928198,1.3274992986612224,1.0,0.03797264944267928,1.3737685417715835,0.3313748195268515,0.2771461150024434,0.27207533904479964,0.47079400302264596
"frozenset({'easter_period=False', 'gender=Male', 'christmas_period=False', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.2539398215998118,0.45378060033653583,0.15314190595089472,0.6030637691485572,1.328976533376061,1.0,0.037908941255979295,1.3760885432196588,0.331797987657331,0.2761410720694268,0.2733025756756305,0.47027191647220523
"frozenset({'bus_involvement=False', 'gender=Male', 'christmas_period=False', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.2522571423401907,0.45378060033653583,0.15256291953898207,0.6047912781523455,1.3327834590192178,1.0,0.03809352204867136,1.3821036061902028,0.33392571460764475,0.27564563582870216,0.276465240723508,0.47049771244140404
"frozenset({'easter_period=False', 'gender=Male', 'christmas_period=False', 'speed_limit_group=81–100', 'bus_involvement=False'})",frozenset({'road_user=Driver'}),0.2506830230328032,0.45378060033653583,0.15178490654797444,0.6054853843377841,1.3343130664659086,1.0,0.038029813861971365,1.3845352693628419,0.334372105447793,0.2746349767563674,0.27773598684835504,0.46998750875581385
"frozenset({'day_type=Weekday', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.21634189147623442,0.45378060033653583,0.13095948904449148,0.6053357865685373,1.3339833966449954,1.0,0.03278773565246414,1.3840104602195467,0.3194830496865606,0.2428940568475452,0.27746210831284535,0.4469661388983037
"frozenset({'easter_period=False', 'day_type=Weekday', 'speed_limit_group=81–100'})",frozenset({'road_user=Driver'}),0.21491251877182507,0.45378060033653583,0.13030812933108976,0.6063310321602964,1.3361766274508542,1.0,0.032784997542973954,1.3875094159971402,0.32046868105943727,0.24203521978760584,0.2792841702761742,0.446746058344901
